Date (yyyy/mm/dd),Workout,Workout Name,Program Name,Body Weight (KG),Exercise,Sets×Reps,Sets×Time,Top Set (Reps×KG),e1RM (KG),Reps,Volume (KG),Workout Volume (KG),Duration (hours),Start Time (h:mm),End Time (h:mm),Notes,Set 1 (Reps),Set 1 (KG),Set 2 (Reps),Set 2 (KG),Set 3 (Reps),Set 3 (KG),Set 4 (Reps),Set 4 (KG),Set 5 (Reps),Set 5 (KG)
2020/06/15,19,"Workout A","",82,"Bench Press",5×5,,5×50,61.6,25,1250,3312.5,1.3176,06:14,07:33,"",5,50,5,50,5,50,5,50,5,50
2020/06/15,19,"Workout A","",82,"Barbell Row",5×5,,5×30,36.9,25,750,3312.5,1.3176,06:14,07:33,"",5,30,5,30,5,30,5,30,5,30
2020/09/05,20,"Workout A","",82,"Pullups",3×5,,5×0,0,15,1230,2460.0,3,14:26,17:26,"",5,0,5,0,5,0,,,,
2020/09/05,20,"Workout A","",82,"Ab Wheel",3×5,,5×0,0,15,1230,2460.0,3,14:26,17:26,"",5,0,5,0,5,0,,,,
2020/09/05,20,"Workout A","",82,"Dips",Skipped,,,,0,0,2460.0,3,14:26,17:26,"",0,0,0,0,0,0,,,,
2022/09/10,21,"Workout B","",86,"Squat",5×5,,5×40,49.3,25,1000,1700.0,3,14:22,17:22,"",5,40,5,40,5,40,5,40,5,40
2022/09/10,21,"Workout B","",86,"Overhead Press",5×5,,5×20,24.6,25,500,1700.0,3,14:22,17:22,"",5,20,5,20,5,20,5,20,5,20
2022/09/10,21,"Workout B","",86,"Deadlift",1×5,,5×40,49.3,5,200,1700.0,3,14:22,17:22,"",5,40,,,,,,,,
2022/09/12,22,"Workout A","",86,"Squat",5×5,,5×45.4,55.9,25,1135,2725.0,0.60585,17:53,18:29,"",5,45.4,5,45.4,5,45.4,5,45.4,5,45.4
2022/09/12,22,"Workout A","",86,"Bench Press",5×5,,5×31.8,39.2,25,795,2725.0,0.60585,17:53,18:29,"",5,31.8,5,31.8,5,31.8,5,31.8,5,31.8
2022/09/12,22,"Workout A","",86,"Barbell Row",5×5,,5×31.8,39.2,25,795,2725.0,0.60585,17:53,18:29,"",5,31.8,5,31.8,5,31.8,5,31.8,5,31.8
2022/09/19,23,"Workout A","",86,"Squat",5×5,,5×45.4,55.9,25,1135,2835.0,0.65651,19:09,19:48,"",5,45.4,5,45.4,5,45.4,5,45.4,5,45.4
2022/09/19,23,"Workout A","",86,"Bench Press",5×5,,5×34,41.9,25,850,2835.0,0.65651,19:09,19:48,"",5,34,5,34,5,34,5,34,5,34
2022/09/19,23,"Workout A","",86,"Barbell Row",5×5,,5×34,41.9,25,850,2835.0,0.65651,19:09,19:48,"",5,34,5,34,5,34,5,34,5,34
2022/09/23,24,"Workout B","",86,"Squat",5×5,,5×45.4,55.9,25,1135,1873.0,0.41105,18:11,18:35,"",5,45.4,5,45.4,5,45.4,5,45.4,5,45.4
2022/09/23,24,"Workout B","",86,"Overhead Press",5×5,,5×20.9,25.7,25,522.5,1873.0,0.41105,18:11,18:35,"",5,20.9,5,20.9,5,20.9,5,20.9,5,20.9
2022/09/23,24,"Workout B","",86,"Deadlift",1×5,,5×43.1,53.1,5,215.5,1873.0,0.41105,18:11,18:35,"",5,43.1,,,,,,,,
2022/09/26,25,"Workout B","",86,"Squat",5×5,,5×50,61.6,25,1250,2000.0,0.42267,10:32,10:57,"",5,50,5,50,5,50,5,50,5,50
2022/09/26,25,"Workout B","",86,"Overhead Press",5×5,,5×20,24.6,25,500,2000.0,0.42267,10:32,10:57,"",5,20,5,20,5,20,5,20,5,20
2022/09/26,25,"Workout B","",86,"Deadlift",1×5,,5×50,61.6,5,250,2000.0,0.42267,10:32,10:57,"",5,50,,,,,,,,
2022/09/28,26,"Workout A","",86,"Squat",5×5,,5×45.4,55.9,25,1135,2950.0,1.0178,17:50,18:51,"",5,45.4,5,45.4,5,45.4,5,45.4,5,45.4
2022/09/28,26,"Workout A","",86,"Bench Press",5×5,,5×36.3,44.7,25,907.5,2950.0,1.0178,17:50,18:51,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2022/09/28,26,"Workout A","",86,"Barbell Row",5×5,,5×36.3,44.7,25,907.5,2950.0,1.0178,17:50,18:51,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2022/09/30,27,"Workout B","",86,"Squat",5×5,,5×47.6,58.6,25,1190,1983.5,0.4005,18:54,19:18,"ate pasta before workout. feeling really good during workout.",5,47.6,5,47.6,5,47.6,5,47.6,5,47.6
2022/09/30,27,"Workout B","",86,"Overhead Press",5×5,,5×21.3,26.2,25,532.5,1983.5,0.4005,18:54,19:18,"ate pasta before workout. feeling really good during workout.",5,21.3,5,21.3,5,21.3,5,21.3,5,21.3
2022/09/30,27,"Workout B","",86,"Deadlift",1×5,,5×52.2,64.3,5,261,1983.5,0.4005,18:54,19:18,"ate pasta before workout. feeling really good during workout.",5,52.2,,,,,,,,
2022/10/03,28,"Workout A","",86,"Squat",5×5,,5×49.9,61.5,25,1247.5,3177.5,0.65525,17:37,18:16,"",5,49.9,5,49.9,5,49.9,5,49.9,5,49.9
2022/10/03,28,"Workout A","",86,"Bench Press",5×5,,5×38.6,47.5,25,965,3177.5,0.65525,17:37,18:16,"",5,38.6,5,38.6,5,38.6,5,38.6,5,38.6
2022/10/03,28,"Workout A","",86,"Barbell Row",5×5,,5×38.6,47.5,25,965,3177.5,0.65525,17:37,18:16,"",5,38.6,5,38.6,5,38.6,5,38.6,5,38.6
2022/10/05,29,"Workout B","",86,"Squat",5×5,,5×52.2,64.3,25,1305,2109.8,0.4164,15:14,15:39,"",5,52.2,5,52.2,5,52.2,5,52.2,5,52.2
2022/10/05,29,"Workout B","",86,"Overhead Press",5/5/5/5/4,,5×22.2,25.7,24,532.8,2109.8,0.4164,15:14,15:39,"",5,22.2,5,22.2,5,22.2,5,22.2,4,22.2
2022/10/05,29,"Workout B","",86,"Deadlift",1×5,,5×54.4,67,5,272,2109.8,0.4164,15:14,15:39,"",5,54.4,,,,,,,,
2022/10/07,30,"Workout A","",86,"Squat",5×5,,5×54.4,67,25,1360,3400.0,0.76423,16:51,17:37,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/07,30,"Workout A","",86,"Bench Press",5×5,,5×40.8,50.3,25,1020,3400.0,0.76423,16:51,17:37,"",5,40.8,5,40.8,5,40.8,5,40.8,5,40.8
2022/10/07,30,"Workout A","",86,"Barbell Row",5×5,,5×40.8,50.3,25,1020,3400.0,0.76423,16:51,17:37,"",5,40.8,5,40.8,5,40.8,5,40.8,5,40.8
2022/10/09,31,"Workout B","",86,"Squat",5×5,,5×54.4,67,25,1360,2198.5,0.3487,15:40,16:01,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/09,31,"Workout B","",86,"Overhead Press",5×5,,5×22.2,27.3,25,555,2198.5,0.3487,15:40,16:01,"",5,22.2,5,22.2,5,22.2,5,22.2,5,22.2
2022/10/09,31,"Workout B","",86,"Deadlift",1×5,,5×56.7,69.9,5,283.5,2198.5,0.3487,15:40,16:01,"",5,56.7,,,,,,,,
2022/10/11,32,"Workout A","",86,"Squat",5×5,,5×54.4,67,25,1360,3515.0,0.76445,12:05,12:51,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/11,32,"Workout A","",86,"Bench Press",5×5,,5×43.1,53.1,25,1077.5,3515.0,0.76445,12:05,12:51,"",5,43.1,5,43.1,5,43.1,5,43.1,5,43.1
2022/10/11,32,"Workout A","",86,"Barbell Row",5×5,,5×43.1,53.1,25,1077.5,3515.0,0.76445,12:05,12:51,"",5,43.1,5,43.1,5,43.1,5,43.1,5,43.1
2022/10/13,33,"Workout B","",86,"Squat",5×5,,5×54.4,67,25,1360,2539.5,0.46147,18:34,19:02,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/13,33,"Workout B","",86,"Overhead Press",5×5,,5×36.3,44.7,25,907.5,2539.5,0.46147,18:34,19:02,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2022/10/13,33,"Workout B","",86,"Deadlift",1×5,,5×54.4,67,5,272,2539.5,0.46147,18:34,19:02,"",5,54.4,,,,,,,,
2022/10/18,34,"Workout A","",86,"Squat",5×5,,5×54.4,67,25,1360,4080.0,0.59192,19:41,20:17,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/18,34,"Workout A","",86,"Bench Press",5×5,,5×54.4,67,25,1360,4080.0,0.59192,19:41,20:17,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/18,34,"Workout A","",86,"Barbell Row",5×5,,5×54.4,67,25,1360,4080.0,0.59192,19:41,20:17,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/20,35,"Workout B","",86,"Squat",5×5,,5×54.4,67,25,1360,2573.5,0.33282,18:09,18:29,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/20,35,"Workout B","",86,"Overhead Press",5×5,,5×37.2,45.8,25,930,2573.5,0.33282,18:09,18:29,"",5,37.2,5,37.2,5,37.2,5,37.2,5,37.2
2022/10/20,35,"Workout B","",86,"Deadlift",1×5,,5×56.7,69.9,5,283.5,2573.5,0.33282,18:09,18:29,"",5,56.7,,,,,,,,
2022/10/24,36,"Workout A","",86,"Squat",5×5,,5×54.4,67,25,1360,4080.0,0.53383,12:38,13:10,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/24,36,"Workout A","",86,"Bench Press",5×5,,5×54.4,67,25,1360,4080.0,0.53383,12:38,13:10,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/24,36,"Workout A","",86,"Barbell Row",5×5,,5×54.4,67,25,1360,4080.0,0.53383,12:38,13:10,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/26,37,"Workout B","",86,"Squat",5×5,,5×54.4,67,25,1360,2584.5,0.32817,16:59,17:19,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/26,37,"Workout B","",86,"Overhead Press",5×5,,5×38.1,46.9,25,952.5,2584.5,0.32817,16:59,17:19,"",5,38.1,5,38.1,5,38.1,5,38.1,5,38.1
2022/10/26,37,"Workout B","",86,"Deadlift",1×5,,5×54.4,67,5,272,2584.5,0.32817,16:59,17:19,"",5,54.4,,,,,,,,
2022/10/28,38,"Workout A","",86,"Squat",5×5,,5×54.4,67,25,1360,4080.0,0.6748,19:19,19:59,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/28,38,"Workout A","",86,"Bench Press",5×5,,5×54.4,67,25,1360,4080.0,0.6748,19:19,19:59,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/10/28,38,"Workout A","",86,"Barbell Row",5×5,,5×54.4,67,25,1360,4080.0,0.6748,19:19,19:59,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/11/03,39,"Workout B","",86,"Squat",5×5,,5×54.4,67,25,1360,2618.5,0.3683,16:54,17:16,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/11/03,39,"Workout B","",86,"Overhead Press",5×5,,5×39,48,25,975,2618.5,0.3683,16:54,17:16,"",5,39,5,39,5,39,5,39,5,39
2022/11/03,39,"Workout B","",86,"Deadlift",1×5,,5×56.7,69.9,5,283.5,2618.5,0.3683,16:54,17:16,"",5,56.7,,,,,,,,
2022/11/04,40,"Workout A","",86,"Squat",5×5,,5×54.4,67,25,1360,3175.0,0.70001,17:15,17:57,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/11/04,40,"Workout A","",86,"Bench Press",5×5,,5×36.3,44.7,25,907.5,3175.0,0.70001,17:15,17:57,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2022/11/04,40,"Workout A","",86,"Barbell Row",5×5,,5×36.3,44.7,25,907.5,3175.0,0.70001,17:15,17:57,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2022/11/10,41,"Workout B","",86,"Squat",5×5,,5×54.4,67,25,1360,2471.0,0.48927,18:00,18:29,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2022/11/10,41,"Workout B","",86,"Overhead Press",5×5,,5×39.9,49.1,25,997.5,2471.0,0.48927,18:00,18:29,"",5,39.9,5,39.9,5,39.9,5,39.9,5,39.9
2022/11/10,41,"Workout B","",86,"Deadlift",1×5,,5×22.7,27.9,5,113.5,2471.0,0.48927,18:00,18:29,"",5,22.7,,,,,,,,
2023/02/22,42,"Workout A","",86,"Squat",5×5,,5×29.5,36.3,25,737.5,1985.0,1.0354,10:32,11:34,"",5,29.5,5,29.5,5,29.5,5,29.5,5,29.5
2023/02/22,42,"Workout A","",86,"Bench Press",5×5,,5×20.4,25.1,25,510,1985.0,1.0354,10:32,11:34,"",5,20.4,5,20.4,5,20.4,5,20.4,5,20.4
2023/02/22,42,"Workout A","",86,"Barbell Row",5×5,,5×29.5,36.3,25,737.5,1985.0,1.0354,10:32,11:34,"",5,29.5,5,29.5,5,29.5,5,29.5,5,29.5
2023/04/04,43,"Workout B","",86,"Squat",5×5,,5×20.4,25.1,25,510,1248.0,0.46529,17:05,17:33,"",5,20.4,5,20.4,5,20.4,5,20.4,5,20.4
2023/04/04,43,"Workout B","",86,"Overhead Press",5×5,,5×20.9,25.7,25,522.5,1248.0,0.46529,17:05,17:33,"",5,20.9,5,20.9,5,20.9,5,20.9,5,20.9
2023/04/04,43,"Workout B","",86,"Deadlift",1×5,,5×43.1,53.1,5,215.5,1248.0,0.46529,17:05,17:33,"",5,43.1,,,,,,,,
2023/04/09,44,"Workout A","",86,"Squat",5×5,,5×22.7,27.9,25,567.5,1930.0,0.65381,10:14,10:53,"",5,22.7,5,22.7,5,22.7,5,22.7,5,22.7
2023/04/09,44,"Workout A","",86,"Bench Press",5×5,,5×22.7,27.9,25,567.5,1930.0,0.65381,10:14,10:53,"",5,22.7,5,22.7,5,22.7,5,22.7,5,22.7
2023/04/09,44,"Workout A","",86,"Barbell Row",5×5,,5×31.8,39.2,25,795,1930.0,0.65381,10:14,10:53,"",5,31.8,5,31.8,5,31.8,5,31.8,5,31.8
2023/06/05,45,"Workout B","",86,"Squat",5×5,,5×50,61.6,25,1250,2087.5,0.47379,15:00,15:28,"",5,50,5,50,5,50,5,50,5,50
2023/06/05,45,"Workout B","",86,"Overhead Press",5×5,,5×25,30.8,25,625,2087.5,0.47379,15:00,15:28,"",5,25,5,25,5,25,5,25,5,25
2023/06/05,45,"Workout B","",86,"Deadlift",1×5,,5×42.5,52.4,5,212.5,2087.5,0.47379,15:00,15:28,"",5,42.5,,,,,,,,
2023/06/07,46,"Workout A","Stronglifts 5×5",86,"Squat",5×5,,5×52.5,64.7,25,1312.5,3375.0,1.2203,12:59,14:15,"Had pasta. 3rd set is easiest.",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2023/06/07,46,"Workout A","Stronglifts 5×5",86,"Bench Press",5×5,,5×50,61.6,25,1250,3375.0,1.2203,12:59,14:15,"Had pasta. 3rd set is easiest.",5,50,5,50,5,50,5,50,5,50
2023/06/07,46,"Workout A","Stronglifts 5×5",86,"Barbell Row",5×5,,5×32.5,40,25,812.5,3375.0,1.2203,12:59,14:15,"Had pasta. 3rd set is easiest.",5,32.5,5,32.5,5,32.5,5,32.5,5,32.5
2023/06/14,47,"Workout B","Stronglifts 5×5",86,"Squat",5×5,,5×45,55.4,25,1125,2087.5,0.80639,07:46,08:35,"",5,45,5,45,5,45,5,45,5,45
2023/06/14,47,"Workout B","Stronglifts 5×5",86,"Overhead Press",5×5,,5×30,36.9,25,750,2087.5,0.80639,07:46,08:35,"",5,30,5,30,5,30,5,30,5,30
2023/06/14,47,"Workout B","Stronglifts 5×5",86,"Deadlift",1×5,,5×42.5,52.4,5,212.5,2087.5,0.80639,07:46,08:35,"",5,42.5,,,,,,,,
2023/06/16,48,"Workout A","Stronglifts 5×5",86,"Squat",5×5,,5×50,61.6,25,1250,3250.0,0.65972,16:37,17:16,"",5,50,5,50,5,50,5,50,5,50
2023/06/16,48,"Workout A","Stronglifts 5×5",86,"Bench Press",5×5,,5×50,61.6,25,1250,3250.0,0.65972,16:37,17:16,"",5,50,5,50,5,50,5,50,5,50
2023/06/16,48,"Workout A","Stronglifts 5×5",86,"Barbell Row",5×5,,5×30,36.9,25,750,3250.0,0.65972,16:37,17:16,"",5,30,5,30,5,30,5,30,5,30
2023/06/19,49,"Workout B","Stronglifts 5×5",86,"Squat",5×5,,5×52.5,64.7,25,1312.5,2412.5,0.47389,13:51,14:20,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
